classe_age,0-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,>80
18-20,0.11287461027629155,0.948305595975072,1.031853025222125,0.38446040391868624,1.1800971871972257,1.068934483469266,0.27756908983684214,0.05529776095325305,0.061151261044853716
21-25,0.11849888405625614,0.33490741951205333,1.2668108665961855,0.4650365892376976,0.5449664851169578,0.8043517599207253,0.19132454226321371,0.09084770836588933,0.1473466424044836
26-30,0.38503302053030997,0.11226567525964212,1.213477397187956,0.9587129915073738,0.5273654760538286,0.5518729098342481,0.2741043860209527,0.15107738498355722,0.30374586490822564
31-35,0.923458006478163,0.09534554979470056,0.6016736096283098,1.4228386893802105,0.5939223753943361,0.3707632563445579,0.24376875082523256,0.18347742248465512,0.17080528010884272
36-40,1.3041758838910518,0.2750161210535069,0.3985916239076664,1.3878954556758845,0.7753616921590952,0.33860266739651085,0.19600023615149273,0.15572397345034303,0.3059545024715114
41-45,0.9301480212319612,0.8675744719822107,0.2991418059041509,0.762666851843405,1.224371384388288,0.37875202337417746,0.18882197376451046,0.14951792548138818,0.1747827946369546
46-50,0.42401929272883787,1.1418970809033833,0.42274907759299885,0.5773291547166585,1.230993549176899,0.5231235741143374,0.1644235278953928,0.17433058394467665,0.1525559542802224
51-55,0.15136519352459282,0.7272289960658802,0.5764066503322312,0.3191871858130603,0.4869361601215035,0.8643282613820563,0.14134779952445364,0.10624980795684921,0.18118630387639112
56-60,0.11529782986508845,0.249357275004376,0.5734917188076786,0.35290673331098527,0.4057336706286289,0.8619466066785637,0.3064109922202479,0.08666763579181105,0.1779364706194633
61-65,0.10544886741488411,0.1672530194492316,0.38501655868766893,0.4587589269543669,0.3602471195698721,0.4836286726400667,0.7504502591762148,0.11596359239822682,0.16903726911195135
66-70,0.05736511699851962,0.03974893847752856,0.08559040799765151,0.16116187760861111,0.1845576211487423,0.15892128675759898,0.702235196543432,0.20316248490432864,0.06748161045873068
71-75,0.03214233756550215,0.028958249509245568,0.058548752527253015,0.14272379189969203,0.19885382672992963,0.11286580925379507,0.2860027723599436,0.6417064864160007,0.049148339214706085
76-80,0.010857346808882947,0.014820608602170732,0.060789745045977284,0.11682833210906611,0.21926016146501184,0.12517030513951216,0.15876068382913175,0.6950926031286437,0.13529012234367105
81-85,0.03038613881432059,0.002764939487157371,0.09395155147452963,0.11173019039831424,0.1326607042947328,0.17054780082980936,0.10868765711199947,0.285514452833989,0.5833555083084393
86-90,0.0,0.04693184516989184,0.1944229585651475,0.026782311542320494,0.2143840922802259,0.2010557364798966,0.09380089036895271,0.04686904519906086,0.4086186509328804
>90,0.07999806685898349,0.0,0.0,0.533695206588593,0.5074039451643018,0.1605582750110217,0.23999420057695048,0.02685340271734607,0.4016767581740816
