classe_age,0-4,5-10,11-14,15-20,21-30,31-40,41-50,51-60,61-70,71-80,>80,Count_ind
18-20,0.00909090909090909,0.01818181818181818,0.045454545454545456,0.1,0.06363636363636363,0.09090909090909091,0.11818181818181818,0.10909090909090909,0.01818181818181818,0.02727272727272727,0.01818181818181818,110
21-25,0.012254901960784314,0.0392156862745098,0.00980392156862745,0.022058823529411766,0.23529411764705882,0.11764705882352941,0.11029411764705882,0.125,0.03431372549019608,0.01715686274509804,0.022058823529411766,408
26-30,0.035386631716906945,0.035386631716906945,0.005242463958060288,0.011795543905635648,0.17169069462647443,0.18086500655307994,0.07863695937090433,0.09960681520314547,0.05242463958060288,0.010484927916120577,0.020969855832241154,763
31-35,0.04081632653061224,0.03194321206743567,0.01064773735581189,0.00354924578527063,0.06388642413487133,0.19964507542147295,0.09139307897071872,0.062111801242236024,0.04525288376220053,0.009760425909494233,0.0044365572315882874,1127
36-40,0.03874269005847953,0.04824561403508772,0.015350877192982455,0.003654970760233918,0.025584795321637425,0.1652046783625731,0.11476608187134503,0.04312865497076023,0.049707602339181284,0.027777777777777776,0.014619883040935672,1368
41-45,0.010053619302949061,0.03150134048257373,0.022117962466487937,0.007372654155495978,0.02680965147453083,0.07372654155495978,0.1032171581769437,0.05361930294906166,0.03686327077747989,0.05563002680965148,0.014745308310991957,1492
46-50,0.007988380537400145,0.02832244008714597,0.01670297748729121,0.015250544662309368,0.04793028322440087,0.07915758896151052,0.13071895424836602,0.07262164124909223,0.026143790849673203,0.06027596223674655,0.027596223674655047,1377
51-55,0.007513148009015778,0.015026296018031555,0.015026296018031555,0.028549962434259956,0.037565740045078885,0.07588279489105935,0.07888805409466566,0.10217881292261458,0.03681442524417731,0.03606311044327573,0.06912096168294515,1331
56-60,0.022071307300509338,0.010186757215619695,0.006791171477079796,0.012733446519524618,0.055178268251273345,0.0730050933786078,0.06621392190152801,0.08234295415959253,0.053480475382003394,0.021222410865874362,0.09592529711375213,1178
61-65,0.01670843776106934,0.01086048454469507,0.006683375104427736,0.01086048454469507,0.025898078529657476,0.06934001670843776,0.03592314118629908,0.05680868838763575,0.07936507936507936,0.02172096908939014,0.09941520467836257,1197
66-70,0.005324813631522897,0.024494142705005325,0.01810436634717785,0.005324813631522897,0.022364217252396165,0.07454739084132056,0.08519701810436635,0.059637912673056445,0.08626198083067092,0.03514376996805112,0.06283280085197018,939
71-75,0.010447761194029851,0.010447761194029851,0.008955223880597015,0.0014925373134328358,0.019402985074626865,0.056716417910447764,0.06865671641791045,0.050746268656716415,0.04626865671641791,0.034328358208955224,0.029850746268656716,670
76-80,0.004219409282700422,0.008438818565400843,0.004219409282700422,0.0,0.02531645569620253,0.06751054852320675,0.10126582278481013,0.029535864978902954,0.0379746835443038,0.07172995780590717,0.05485232067510549,237
81-85,0.02040816326530612,0.030612244897959183,0.01020408163265306,0.0,0.07142857142857142,0.08163265306122448,0.10204081632653061,0.16326530612244897,0.14285714285714285,0.07142857142857142,0.09183673469387756,98
86-90,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.19230769230769232,0.0,0.11538461538461539,0.0,0.11538461538461539,26
>90,0.0,0.0,0.0,0.0,0.0,1.25,1.75,0.25,0.0,0.0,0.0,4
