Year of birth,Age in completed years,Males,Females,Total,classe_age,part_age
2019,0,360058,346324,706382,0-4,0-9
2018,1,365656,350503,716159,0-4,0-9
2017,2,371835,357304,729139,0-4,0-9
2016,3,382535,366607,749142,0-4,0-9
2015,4,393693,377204,770897,0-4,0-9
2014,5,403548,391501,795049,5-9,0-9
2013,6,409134,392202,801336,5-9,0-9
2012,7,419746,399227,818973,5-9,0-9
2011,8,420236,404030,824266,5-9,0-9
2010,9,430787,413625,844412,5-9,0-9
2009,10,428212,408398,836610,10-14,17-Oct
2008,11,430731,411043,841774,10-14,17-Oct
2007,12,425893,407591,833484,10-14,17-Oct
2006,13,432473,414777,847250,10-14,17-Oct
2005,14,424444,404430,828874,10-14,17-Oct
2004,15,424188,404036,828224,15-17,17-Oct
2003,16,422558,402977,825535,15-17,17-Oct
2002,17,422993,401250,824243,15-17,17-Oct
2001,18,426940,403919,830859,18-20,18-20
2000,19,427764,404371,832135,18-20,18-20
1999,20,398800,379795,778595,18-20,18-20
1998,21,390940,376479,767419,21-25,"[21,31)"
1997,22,373892,364363,738255,21-25,"[21,31)"
1996,23,372960,368533,741493,21-25,"[21,31)"
1995,24,365819,365901,731720,21-25,"[21,31)"
1994,25,352810,357004,709814,21-25,"[21,31)"
1993,26,352119,358110,710229,26-30,"[21,31)"
1992,27,369044,378321,747365,26-30,"[21,31)"
1991,28,376549,386191,762740,26-30,"[21,31)"
1990,29,384258,399020,783278,26-30,"[21,31)"
1989,30,385549,408207,793756,26-30,"[21,31)"
1988,31,391686,414023,805709,31-35,"[31,41)"
1987,32,392288,417174,809462,31-35,"[31,41)"
1986,33,398561,425827,824388,31-35,"[31,41)"
1985,34,398500,424654,823154,31-35,"[31,41)"
1984,35,396432,421184,817616,31-35,"[31,41)"
1983,36,392284,416829,809113,36-40,"[31,41)"
1982,37,418774,441409,860183,36-40,"[31,41)"
1981,38,423924,444590,868514,36-40,"[31,41)"
1980,39,427805,448557,876362,36-40,"[31,41)"
1979,40,405284,425335,830619,36-40,"[31,41)"
1978,41,398834,413726,812560,41-45,"[41,51)"
1977,42,402575,412954,815529,41-45,"[41,51)"
1976,43,391152,403860,795012,41-45,"[41,51)"
1975,44,403928,414578,818506,41-45,"[41,51)"
1974,45,424573,434834,859407,41-45,"[41,51)"
1973,46,446674,458834,905508,46-50,"[41,51)"
1972,47,458045,467783,925828,46-50,"[41,51)"
1971,48,456949,464142,921091,46-50,"[41,51)"
1970,49,445768,454621,900389,46-50,"[41,51)"
1969,50,439368,449572,888940,46-50,"[41,51)"
1968,51,431757,446380,878137,51-55,"[51,61)"
1967,52,429154,443790,872944,51-55,"[51,61)"
1966,53,437583,454330,891913,51-55,"[51,61)"
1965,54,437857,455939,893796,51-55,"[51,61)"
1964,55,439911,461505,901416,51-55,"[51,61)"
1963,56,432906,456383,889289,56-60,"[51,61)"
1962,57,417223,440637,857860,56-60,"[51,61)"
1961,58,417146,441038,858184,56-60,"[51,61)"
1960,59,411659,440968,852627,56-60,"[51,61)"
1959,60,407015,438821,845836,56-60,"[51,61)"
1958,61,395560,431486,827046,61-65,"[61,71)"
1957,62,390560,427710,818270,61-65,"[61,71)"
1956,63,384101,425002,809103,61-65,"[61,71)"
1955,64,377452,421955,799407,61-65,"[61,71)"
1954,65,375899,419167,795066,61-65,"[61,71)"
1953,66,366489,409584,776073,66-70,"[61,71)"
1952,67,369758,414522,784280,66-70,"[61,71)"
1951,68,357936,403062,760998,66-70,"[61,71)"
1950,69,367412,416115,783527,66-70,"[61,71)"
1949,70,357423,409011,766434,66-70,"[61,71)"
1948,71,353971,405651,759622,71-75,"[71,81)"
1947,72,343786,395417,739203,71-75,"[71,81)"
1946,73,319209,373675,692884,71-75,"[71,81)"
1945,74,236133,282822,518955,71-75,"[71,81)"
1944,75,228151,274365,502516,71-75,"[71,81)"
1943,76,218015,265820,483835,76-80,"[71,81)"
1942,77,198121,245327,443448,76-80,"[71,81)"
1941,78,171413,217897,389310,76-80,"[71,81)"
1940,79,171850,225603,397453,76-80,"[71,81)"
1939,80,173240,234771,408011,76-80,"[71,81)"
1938,81,163237,226815,390052,81-85,81+
1937,82,152718,219891,372609,81-85,81+
1936,83,145045,217005,362050,81-85,81+
1935,84,130057,206227,336284,81-85,81+
1934,85,122635,202703,325338,81-85,81+
1933,86,107243,186398,293641,86-90,81+
1932,87,98622,181628,280250,86-90,81+
1931,88,85287,164968,250255,86-90,81+
1930,89,73609,152444,226053,86-90,81+
1929,90,57533,128482,186015,86-90,81+
1928,91,47092,113470,160562,>90,81+
1927,92,36852,95551,132403,>90,81+
1926,93,28358,82108,110466,>90,81+
1925,94,22290,67040,89330,>90,81+
1924,95,16359,53442,69801,>90,81+
1923,96,11552,41649,53201,>90,81+
1922,97,7728,32000,39728,>90,81+
1921,98,5514,23516,29030,>90,81+
1920,99,3639,16396,20035,>90,81+
1919 or before,100 or over,3551,18309,21860,>90,81+
