"","country","age_cat_del","n","mean","se","lo","high"
"1","Belgium","18-24",71,15.8732394366197,1.6580915039887,12.6233800888019,19.1230987844376
"2","Belgium","25-44",164,11.6463414634146,0.69017299477325,10.2936023936591,12.9990805331702
"3","Belgium","45-64",197,11.9441624365482,0.675801295605966,10.6195918971605,13.2687329759359
"4","Belgium","65+",49,7.55102040816327,0.835572446495014,5.91329841303304,9.18874240329349
"5","Belgium",NA,269,11.5910780669145,0.588042958222144,10.4385138687991,12.7436422650299
"6","Finland","18-24",92,10.5217391304348,0.756478352985392,9.03904155858342,12.0044367022862
"7","Finland","25-44",239,11.9121338912134,0.508310645760059,10.9158450255237,12.9084227569031
"8","Finland","45-64",245,9.79183673469388,0.443011676472857,8.92353384880708,10.6601396205807
"9","Finland","65+",90,5.71111111111111,0.625756858973931,4.48462766752221,6.93759455470002
"10","Finland",NA,340,12.9411764705882,0.455163213976079,12.0490565711951,13.8332963699814
"11","Germany","18-24",168,8.85119047619048,0.530616647214483,7.81118184765009,9.89119910473086
"12","Germany","25-44",288,8.49652777777778,0.413401792452248,7.68626026457137,9.30679529098419
"13","Germany","45-64",344,7.0406976744186,0.317033847257866,6.41931133379319,7.66208401504402
"14","Germany","65+",134,5.58208955223881,0.487332349329519,4.62691814755295,6.53726095692466
"15","Germany",NA,407,8.73464373464373,0.27898632363675,8.18783054031571,9.28145692897176
"16","Italy","18-24",74,21.7567567567568,1.41954553255504,18.9744475129489,24.5390660005646
"17","Italy","25-44",203,19.0541871921182,0.783001189852176,17.519504860008,20.5888695242285
"18","Italy","45-64",212,18.2028301886792,0.853587805230744,16.529798090427,19.8758622869315
"19","Italy","65+",51,10.6274509803922,1.02745098039216,8.61364705882353,12.6412549019608
"20","Italy",NA,309,22.3462783171521,0.71826700892703,20.9384749796551,23.7540816546491
"21","Luxembourg","18-24",92,19.3804347826087,1.2347340513524,16.960356041958,21.8005135232594
"22","Luxembourg","25-44",243,19.9876543209877,0.867520975526228,18.2873132089562,21.6879954330191
"23","Luxembourg","45-64",272,15.0551470588235,0.740141897299516,13.6044689401165,16.5058251775306
"24","Luxembourg","65+",69,8.55072463768116,0.871431642884268,6.842718617628,10.2587306577343
"25","Luxembourg",NA,375,18.7386666666667,0.664240090033241,17.4367560902015,20.0405772431318
"26","Netherlands","18-24",17,14.4117647058824,2.22131853982344,10.0579803678284,18.7655490439363
"27","Netherlands","25-44",42,15.7380952380952,1.70060436200257,12.4049106885702,19.0712797876203
"28","Netherlands","45-64",58,12.8620689655172,1.16758194393491,10.5736083554048,15.1505295756297
"29","Netherlands","65+",46,7.5,0.783741799146548,5.96386607367277,9.03613392632723
"30","Netherlands",NA,106,16.311320754717,1.1599302274418,14.0378575089311,18.5847840005029
"31","Poland","18-24",94,20.7446808510638,1.17502183570912,18.441638053074,23.0477236490537
"32","Poland","25-44",245,17.1632653061224,0.714138970731525,15.7635529234887,18.5629776887562
"33","Poland","45-64",244,13.9795081967213,0.663177694085681,12.6796799163134,15.2793364771292
"34","Poland","65+",60,9.93333333333333,1.10746482686789,7.76270227267227,12.1039643939944
"35","Poland",NA,369,17.1788617886179,0.627213854041645,15.9495226346963,18.4082009425395
"36","United Kingdom","18-24",99,12.1414141414141,0.681197561438509,10.8062669209947,13.4765613618336
"37","United Kingdom","25-44",251,11.5458167330677,0.472346403839634,10.620017781542,12.4716156845934
"38","United Kingdom","45-64",241,9.77593360995851,0.434823623941219,8.92367930703372,10.6281879128833
"39","United Kingdom","65+",57,8.33333333333333,0.705036185874039,6.95146240902022,9.71520425764645
"40","United Kingdom",NA,364,13.5851648351648,0.440340477125758,12.7220974999984,14.4482321703313
