part_age,cont_age,lckdown,base,ratio,perc_change
"[25,35)","[25,35)",0.889,7.16,0.124,0.876
"[25,35)","[35,45)",0.579,2.36,0.245,0.755
"[25,35)","[45,65)",0.397,1.25,0.318,0.682
"[25,35)","[65,100]",0.102,0.173,0.591,0.409
"[35,45)","[25,35)",0.524,3.29,0.159,0.841
"[35,45)","[35,45)",1.11,5.87,0.19,0.81
"[35,45)","[45,65)",0.382,1.7,0.224,0.776
"[35,45)","[65,100]",0.234,0.528,0.443,0.557
"[45,65)","[25,35)",0.315,2.23,0.141,0.859
"[45,65)","[35,45)",0.401,3.1,0.129,0.871
"[45,65)","[45,65)",0.91,3.77,0.241,0.759
"[45,65)","[65,100]",0.281,0.755,0.373,0.627
"[65,100]","[25,35)",0.186,0.737,0.252,0.748
"[65,100]","[35,45)",0.246,2.14,0.115,0.885
"[65,100]","[45,65)",0.528,2,0.263,0.737
"[65,100]","[65,100]",0.841,2.17,0.387,0.613
