"","week","BEL","CHN","DEU","FRA","GBR","GRC","ITA","KEN","LUX","NLD","USA","week1"
"1",1,0,2.14285714285714,0,0,0,0,0,0,0,0,0,2020-01-22
"2",2,0,3,0,0,0,0,0,0,0,0,0,2020-02-05
"3",3,0,3,0,0,0,0,2.35714285714286,0,0,0,0,2020-02-19
"4",4,0.642857142857143,3,0,0.214285714285714,0.142857142857143,0.857142857142857,3,0.214285714285714,0.714285714285714,0.857142857142857,0,2020-03-04
"5",5,3,3,1.42857142857143,3,2.57142857142857,2,3,1.57142857142857,3,3,2.78571428571429,2020-03-18
"6",6,3,2.14285714285714,2,3,3,2,3,2,3,3,3,2020-04-01
"7",7,3,2,2,3,3,2,3,2,3,3,3,2020-04-15
"8",8,2.85714285714286,2.21428571428571,2,2.85714285714286,3,1.42857142857143,1.71428571428571,2,2.71428571428571,2.85714285714286,3,2020-04-29
"9",9,2,3,2,2,3,1,1.78571428571429,2,1,2,3,2020-05-13
"10",10,2,3,2,2,2.14285714285714,0.357142857142857,2,2,1,2,3,2020-05-27
"11",11,2,3,2,1.85714285714286,2,0,2,2,1,2,2.35714285714286,2020-06-10
"12",12,2,3,2,1,2,0,2,2,1,2,2,2020-06-24
"13",13,2,3,2,1,2,0,2,2,0.571428571428571,2,2,2020-07-08
