"","name","female_mean_precovid","male_mean_precovid","female_mean_lckdown","male_mean_lckdown","female_mean_post","male_mean_post"
"1","Netherlands (Backer)","15.4(5-20)","15.3(4-21)","3.1(0-4)","3.8(0-4)","9.5(1-11)","9.6(1-11)"
"2","Belgium (Coletti)","13.4(6-18)","13.6(6-17)","2.7(1-4)","2.7(1-4)","4.7(1-5)","5.1(1-4)"
"3","UK (Jarvis)","11.3(6-15)","10.2(5-13)","3(1-4)","2.9(1-4)","-","-"
"4","Kenya","-","-","15.5(7-19.2)","20.3(8-24)","-","-"
"5","Greece","20.3(18-22.7)","21.1(18.3-23.9)","2.6(2.2-3.1)","3.2(2.7-3.6)","-","-"
"6","China-Changsha","9.3(3-10)","9.8(3-11)","2(1-3)","2.6(1-3)","2(1-2)","2.6(1-3)"
"7","China-Shanghai","18.5(4-29.5)","19(4.2-31)","2.6(1-3)","2.1(1-2.8)","2.9(1.2-3)","2.6(1-3)"
"8","China-Shenzhen","7.2(2-9)","8.6(3-11)","2.6(1-3)","2.5(1-3)","2.5(1-3)","2.5(1-3)"
"9","China-Wuhan","14.7(3-15)","14.5(2-18)","2.1(2-2)","1.8(1-2)","3.6(2-4)","3(2-3.2)"
"10","Belgium (Del Fava)","17.7","17.6","2.6(1-3)","3.2(1-4)","-","-"
"11","France (Del Fava)","16.2","16","2.3(1-3)","2.2(0-3)","-","-"
"12","Germany (Del Fava)","7.7","7.8","3.3(1-4)","4.2(1-5)","-","-"
"13","Spain","-","-","2.5(1-3)","2.8(1-3)","-","-"
"14","Italy (Del Fava)","18","18.7","2.4(1-3)","2.8(1-4)","-","-"
"15","Netherlands (Del Fava)","14.8","14.4","4(1-5)","4.6(1-6)","-","-"
"16","UK (Del Fava)","12","10.9","2.5(1-3)","2.5(1-3)","-","-"
"17","US (Del Fava)","-","-","3.3(1-4)","3.9(1-4.6)","-","-"
"18","South Africa","7.6","7.1","-","-","4","4.6"
